Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signaling by ERBB2 Homo sapiens R-HSA-1227986	Mar-45	1.94E-04	6.69E-04	0	0	30.25531915	258.6525249	UBB;RPS27A;UBA52
DNA Damage Bypass Homo sapiens R-HSA-73893	Mar-46	2.07E-04	7.08E-04	0	0	29.55022266	250.6837021	UBB;RPS27A;UBA52
NOTCH1 Intracellular Domain Regulates Transcription Homo sapiens R-HSA-2122947	Mar-47	2.21E-04	7.48E-04	0	0	28.87717602	243.1201193	UBB;RPS27A;UBA52
Death Receptor Signalling Homo sapiens R-HSA-73887	Mar-48	2.35E-04	7.90E-04	0	0	28.23404255	235.932951	UBB;RPS27A;UBA52
Regulation of activated PAK-2p34 by proteasome mediated degradation Homo sapiens R-HSA-211733	Mar-49	2.50E-04	8.33E-04	0	0	27.61887142	229.0959901	UBB;RPS27A;UBA52
CDK-mediated phosphorylation and removal of Cdc6 Homo sapiens R-HSA-69017	Mar-50	2.65E-04	8.55E-04	0	0	27.02987777	222.5853605	UBB;RPS27A;UBA52
Ubiquitin-dependent degradation of Cyclin D1 Homo sapiens R-HSA-69229	Mar-50	2.65E-04	8.55E-04	0	0	27.02987777	222.5853605	UBB;RPS27A;UBA52
Ubiquitin-dependent degradation of Cyclin D Homo sapiens R-HSA-75815	Mar-50	2.65E-04	8.55E-04	0	0	27.02987777	222.5853605	UBB;RPS27A;UBA52
Regulation of Apoptosis Homo sapiens R-HSA-169911	Mar-50	2.65E-04	8.55E-04	0	0	27.02987777	222.5853605	UBB;RPS27A;UBA52
Vpu mediated degradation of CD4 Homo sapiens R-HSA-180534	Mar-51	2.81E-04	8.92E-04	0	0	26.46542553	216.379266	UBB;RPS27A;UBA52
Autodegradation of the E3 ubiquitin ligase COP1 Homo sapiens R-HSA-349425	Mar-51	2.81E-04	8.92E-04	0	0	26.46542553	216.379266	UBB;RPS27A;UBA52
p53-Independent DNA Damage Response Homo sapiens R-HSA-69610	Mar-52	2.98E-04	9.23E-04	0	0	25.92401216	210.4577715	UBB;RPS27A;UBA52
p53-Independent G1/S DNA damage checkpoint Homo sapiens R-HSA-69613	Mar-52	2.98E-04	9.23E-04	0	0	25.92401216	210.4577715	UBB;RPS27A;UBA52
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A Homo sapiens R-HSA-69601	Mar-52	2.98E-04	9.23E-04	0	0	25.92401216	210.4577715	UBB;RPS27A;UBA52
Formation of TC-NER Pre-Incision Complex Homo sapiens R-HSA-6781823	Mar-53	3.15E-04	9.61E-04	0	0	25.40425532	204.8026101	UBB;RPS27A;UBA52
Vif-mediated degradation of APOBEC3G Homo sapiens R-HSA-180585	Mar-53	3.15E-04	9.61E-04	0	0	25.40425532	204.8026101	UBB;RPS27A;UBA52
SCF-beta-TrCP mediated degradation of Emi1 Homo sapiens R-HSA-174113	Mar-54	3.33E-04	9.92E-04	0	0	24.9048811	199.3970147	UBB;RPS27A;UBA52
Stabilization of p53 Homo sapiens R-HSA-69541	Mar-54	3.33E-04	9.92E-04	0	0	24.9048811	199.3970147	UBB;RPS27A;UBA52
Degradation of AXIN Homo sapiens R-HSA-4641257	Mar-54	3.33E-04	9.92E-04	0	0	24.9048811	199.3970147	UBB;RPS27A;UBA52
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD Homo sapiens R-HSA-5362768	Mar-55	3.52E-04	0.001039864	0	0	24.42471358	194.2255684	UBB;RPS27A;UBA52
Degradation of DVL Homo sapiens R-HSA-4641258	Mar-56	3.71E-04	0.001088549	0	0	23.9626656	189.2740727	UBB;RPS27A;UBA52
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants Homo sapiens R-HSA-2894862	Mar-57	3.91E-04	0.001097497	0	0	23.5177305	184.5294313	UBB;RPS27A;UBA52
Signaling by NOTCH1 in Cancer Homo sapiens R-HSA-2644603	Mar-57	3.91E-04	0.001097497	0	0	23.5177305	184.5294313	UBB;RPS27A;UBA52
Signaling by NOTCH1 PEST Domain Mutants in Cancer Homo sapiens R-HSA-2644602	Mar-57	3.91E-04	0.001097497	0	0	23.5177305	184.5294313	UBB;RPS27A;UBA52
Constitutive Signaling by NOTCH1 PEST Domain Mutants Homo sapiens R-HSA-2644606	Mar-57	3.91E-04	0.001097497	0	0	23.5177305	184.5294313	UBB;RPS27A;UBA52
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer Homo sapiens R-HSA-2894858	Mar-57	3.91E-04	0.001097497	0	0	23.5177305	184.5294313	UBB;RPS27A;UBA52
Hh mutants abrogate ligand secretion Homo sapiens R-HSA-5387390	Mar-57	3.91E-04	0.001097497	0	0	23.5177305	184.5294313	UBB;RPS27A;UBA52
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks Homo sapiens R-HSA-5693565	Mar-58	4.12E-04	0.001130921	0	0	23.08897485	179.9795459	UBB;RPS27A;UBA52
NIK-->noncanonical NF-kB signaling Homo sapiens R-HSA-5676590	Mar-58	4.12E-04	0.001130921	0	0	23.08897485	179.9795459	UBB;RPS27A;UBA52
CDT1 association with the CDC6:ORC:origin complex Homo sapiens R-HSA-68827	Mar-58	4.12E-04	0.001130921	0	0	23.08897485	179.9795459	UBB;RPS27A;UBA52
DNA Double Strand Break Response Homo sapiens R-HSA-5693606	Mar-59	4.33E-04	0.001141196	0	0	22.67553191	175.6132243	UBB;RPS27A;UBA52
Degradation of GLI1 by the proteasome Homo sapiens R-HSA-5610780	Mar-59	4.33E-04	0.001141196	0	0	22.67553191	175.6132243	UBB;RPS27A;UBA52
GLI3 is processed to GLI3R by the proteasome Homo sapiens R-HSA-5610785	Mar-59	4.33E-04	0.001141196	0	0	22.67553191	175.6132243	UBB;RPS27A;UBA52
Degradation of GLI2 by the proteasome Homo sapiens R-HSA-5610783	Mar-59	4.33E-04	0.001141196	0	0	22.67553191	175.6132243	UBB;RPS27A;UBA52
The role of GTSE1 in G2/M progression after G2 checkpoint Homo sapiens R-HSA-8852276	Mar-59	4.33E-04	0.001141196	0	0	22.67553191	175.6132243	UBB;RPS27A;UBA52
SCF(Skp2)-mediated degradation of p27/p21 Homo sapiens R-HSA-187577	Mar-59	4.33E-04	0.001141196	0	0	22.67553191	175.6132243	UBB;RPS27A;UBA52
MAP kinase activation in TLR cascade Homo sapiens R-HSA-450294	Mar-60	4.55E-04	0.001191103	0	0	22.27659574	171.4200978	UBB;RPS27A;UBA52
"Cell death signalling via NRAGE, NRIF and NADE Homo sapiens R-HSA-204998"	Mar-61	4.78E-04	0.001233951	0	0	21.89141599	167.390548	UBB;RPS27A;UBA52
Dectin-1 mediated noncanonical NF-kB signaling Homo sapiens R-HSA-5607761	Mar-61	4.78E-04	0.001233951	0	0	21.89141599	167.390548	UBB;RPS27A;UBA52
Gap-filling DNA repair synthesis and ligation in TC-NER Homo sapiens R-HSA-6782210	Mar-62	5.01E-04	0.001277499	0	0	21.51929318	163.5156407	UBB;RPS27A;UBA52
Autodegradation of Cdh1 by Cdh1:APC/C Homo sapiens R-HSA-174084	Mar-62	5.01E-04	0.001277499	0	0	21.51929318	163.5156407	UBB;RPS27A;UBA52
Circadian Clock Homo sapiens R-HSA-400253	Mar-63	5.25E-04	0.001296647	0	0	21.15957447	159.787067	UBB;RPS27A;UBA52
Dual incision in TC-NER Homo sapiens R-HSA-6782135	Mar-63	5.25E-04	0.001296647	0	0	21.15957447	159.787067	UBB;RPS27A;UBA52
p53-Dependent G1/S DNA damage checkpoint Homo sapiens R-HSA-69580	Mar-63	5.25E-04	0.001296647	0	0	21.15957447	159.787067	UBB;RPS27A;UBA52
p53-Dependent G1 DNA Damage Response Homo sapiens R-HSA-69563	Mar-63	5.25E-04	0.001296647	0	0	21.15957447	159.787067	UBB;RPS27A;UBA52
Asymmetric localization of PCP proteins Homo sapiens R-HSA-4608870	Mar-63	5.25E-04	0.001296647	0	0	21.15957447	159.787067	UBB;RPS27A;UBA52
HDR through Homologous Recombination (HRR) Homo sapiens R-HSA-5685942	Mar-64	5.50E-04	0.001341055	0	0	20.81164981	156.1970899	UBB;RPS27A;UBA52
Hedgehog ligand biogenesis Homo sapiens R-HSA-5358346	Mar-64	5.50E-04	0.001341055	0	0	20.81164981	156.1970899	UBB;RPS27A;UBA52
ER-Phagosome pathway Homo sapiens R-HSA-1236974	Mar-65	5.76E-04	0.001386152	0	0	20.47494852	152.7384969	UBB;RPS27A;UBA52
G1/S DNA Damage Checkpoints Homo sapiens R-HSA-69615	Mar-65	5.76E-04	0.001386152	0	0	20.47494852	152.7384969	UBB;RPS27A;UBA52
APC/C:Cdc20 mediated degradation of Securin Homo sapiens R-HSA-174154	Mar-66	6.02E-04	0.001423256	0	0	20.14893617	149.4045564	UBB;RPS27A;UBA52
Activation of NF-kappaB in B cells Homo sapiens R-HSA-1169091	Mar-66	6.02E-04	0.001423256	0	0	20.14893617	149.4045564	UBB;RPS27A;UBA52
Cytosolic sensors of pathogen-associated DNA Homo sapiens R-HSA-1834949	Mar-66	6.02E-04	0.001423256	0	0	20.14893617	149.4045564	UBB;RPS27A;UBA52
Regulation of RAS by GAPs Homo sapiens R-HSA-5658442	Mar-67	6.29E-04	0.001460798	0	0	19.8331117	146.1889792	UBB;RPS27A;UBA52
Assembly of the pre-replicative complex Homo sapiens R-HSA-68867	Mar-67	6.29E-04	0.001460798	0	0	19.8331117	146.1889792	UBB;RPS27A;UBA52
Signaling by PTK6 Homo sapiens R-HSA-8848021	Mar-67	6.29E-04	0.001460798	0	0	19.8331117	146.1889792	UBB;RPS27A;UBA52
Amyloid fiber formation Homo sapiens R-HSA-977225	Mar-68	6.57E-04	0.001507592	0	0	19.52700491	143.0858827	UBB;RPS27A;UBA52
Cyclin E associated events during G1/S transition Homo sapiens R-HSA-69202	Mar-68	6.57E-04	0.001507592	0	0	19.52700491	143.0858827	UBB;RPS27A;UBA52
Cyclin A:Cdk2-associated events at S phase entry Homo sapiens R-HSA-69656	Mar-69	6.86E-04	0.001564155	0	0	19.23017408	140.0897593	UBB;RPS27A;UBA52
Separation of Sister Chromatids Homo sapiens R-HSA-2467813	4/162	7.15E-04	0.0016032	0	0	10.89268024	78.9027643	RPS27;UBB;RPS27A;UBA52
Switching of origins to a post-replicative state Homo sapiens R-HSA-69052	Mar-70	7.15E-04	0.0016032	0	0	18.94220387	137.1954473	UBB;RPS27A;UBA52
Orc1 removal from chromatin Homo sapiens R-HSA-68949	Mar-70	7.15E-04	0.0016032	0	0	18.94220387	137.1954473	UBB;RPS27A;UBA52
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178	Mar-71	7.46E-04	0.001652006	0	0	18.66270338	134.3981044	UBB;RPS27A;UBA52
Cdc20:Phospho-APC/C mediated degradation of Cyclin A Homo sapiens R-HSA-174184	Mar-71	7.46E-04	0.001652006	0	0	18.66270338	134.3981044	UBB;RPS27A;UBA52
ISG15 antiviral mechanism Homo sapiens R-HSA-1169408	Mar-72	7.77E-04	0.001664081	0	0	18.39130435	131.6931836	UBB;RPS27A;UBA52
Antiviral mechanism by IFN-stimulated genes Homo sapiens R-HSA-1169410	Mar-72	7.77E-04	0.001664081	0	0	18.39130435	131.6931836	UBB;RPS27A;UBA52
Signaling by NOTCH1 Homo sapiens R-HSA-1980143	Mar-72	7.77E-04	0.001664081	0	0	18.39130435	131.6931836	UBB;RPS27A;UBA52
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419	Mar-72	7.77E-04	0.001664081	0	0	18.39130435	131.6931836	UBB;RPS27A;UBA52
Removal of licensing factors from origins Homo sapiens R-HSA-69300	Mar-72	7.77E-04	0.001664081	0	0	18.39130435	131.6931836	UBB;RPS27A;UBA52
TRAF6 Mediated Induction of proinflammatory cytokines Homo sapiens R-HSA-168180	Mar-72	7.77E-04	0.001664081	0	0	18.39130435	131.6931836	UBB;RPS27A;UBA52
Signaling by TGF-beta Receptor Complex Homo sapiens R-HSA-170834	Mar-73	8.08E-04	0.001722891	0	0	18.12765957	129.0764117	UBB;RPS27A;UBA52
APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409	Mar-74	8.41E-04	0.0017828	0	0	17.87144141	126.5437688	UBB;RPS27A;UBA52
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176814	Mar-75	8.75E-04	0.001833895	0	0	17.62234043	124.0914701	UBB;RPS27A;UBA52
Regulation of DNA replication Homo sapiens R-HSA-69304	Mar-75	8.75E-04	0.001833895	0	0	17.62234043	124.0914701	UBB;RPS27A;UBA52
Transcription-Coupled Nucleotide Excision Repair (TC-NER) Homo sapiens R-HSA-6781827	Mar-76	9.09E-04	0.001894294	0	0	17.38006412	121.7159495	UBB;RPS27A;UBA52
Mitotic Anaphase Homo sapiens R-HSA-68882	4/173	9.13E-04	0.001894294	0	0	10.17802933	71.23209536	RPS27;UBB;RPS27A;UBA52
Mitotic Metaphase and Anaphase Homo sapiens R-HSA-2555396	4/174	9.33E-04	0.001925082	0	0	10.11764706	70.59271177	RPS27;UBB;RPS27A;UBA52
Senescence-Associated Secretory Phenotype (SASP) Homo sapiens R-HSA-2559582	Mar-77	9.44E-04	0.001938028	0	0	17.14433583	119.4138438	UBB;RPS27A;UBA52
Glucose metabolism Homo sapiens R-HSA-70326	Mar-79	0.001017122	0.002055323	0	0	16.69148936	115.0173577	UBB;RPS27A;UBA52
Regulation of APC/C activators between G1/S and early anaphase Homo sapiens R-HSA-176408	Mar-79	0.001017122	0.002055323	0	0	16.69148936	115.0173577	UBB;RPS27A;UBA52
RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways Homo sapiens R-HSA-168928	Mar-79	0.001017122	0.002055323	0	0	16.69148936	115.0173577	UBB;RPS27A;UBA52
Processing of DNA double-strand break ends Homo sapiens R-HSA-5693607	Mar-81	0.001093553	0.002187653	0	0	16.26186579	110.8786626	UBB;RPS27A;UBA52
Global Genome Nucleotide Excision Repair (GG-NER) Homo sapiens R-HSA-5696399	Mar-82	0.001133092	0.002187653	0	0	16.05521142	108.8993714	UBB;RPS27A;UBA52
Degradation of beta-catenin by the destruction complex Homo sapiens R-HSA-195253	Mar-82	0.001133092	0.002187653	0	0	16.05521142	108.8993714	UBB;RPS27A;UBA52
Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	Mar-82	0.001133092	0.002187653	0	0	16.05521142	108.8993714	UBB;RPS27A;UBA52
DNA Replication Pre-Initiation Homo sapiens R-HSA-69002	Mar-82	0.001133092	0.002187653	0	0	16.05521142	108.8993714	UBB;RPS27A;UBA52
M/G1 Transition Homo sapiens R-HSA-68874	Mar-82	0.001133092	0.002187653	0	0	16.05521142	108.8993714	UBB;RPS27A;UBA52
Toll Like Receptor 10 (TLR10) Cascade Homo sapiens R-HSA-168142	Mar-82	0.001133092	0.002187653	0	0	16.05521142	108.8993714	UBB;RPS27A;UBA52
Toll Like Receptor 5 (TLR5) Cascade Homo sapiens R-HSA-168176	Mar-82	0.001133092	0.002187653	0	0	16.05521142	108.8993714	UBB;RPS27A;UBA52
MyD88 cascade initiated on plasma membrane Homo sapiens R-HSA-975871	Mar-82	0.001133092	0.002187653	0	0	16.05521142	108.8993714	UBB;RPS27A;UBA52
p75 NTR receptor-mediated signalling Homo sapiens R-HSA-193704	Mar-83	0.001173524	0.002243502	0	0	15.8537234	106.9768688	UBB;RPS27A;UBA52
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation Homo sapiens R-HSA-975138	Mar-83	0.001173524	0.002243502	0	0	15.8537234	106.9768688	UBB;RPS27A;UBA52
Hedgehog 'on' state Homo sapiens R-HSA-5632684	Mar-85	0.001257097	0.00234578	0	0	15.4654904	103.2932342	UBB;RPS27A;UBA52
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143	Mar-85	0.001257097	0.00234578	0	0	15.4654904	103.2932342	UBB;RPS27A;UBA52
Regulation of mitotic cell cycle Homo sapiens R-HSA-453276	Mar-85	0.001257097	0.00234578	0	0	15.4654904	103.2932342	UBB;RPS27A;UBA52
MyD88 dependent cascade initiated on endosome Homo sapiens R-HSA-975155	Mar-85	0.001257097	0.00234578	0	0	15.4654904	103.2932342	UBB;RPS27A;UBA52
Toll Like Receptor 7/8 (TLR7/8) Cascade Homo sapiens R-HSA-168181	Mar-85	0.001257097	0.00234578	0	0	15.4654904	103.2932342	UBB;RPS27A;UBA52
Regulation of PLK1 Activity at G2/M Transition Homo sapiens R-HSA-2565942	Mar-87	0.001344334	0.00249662	0	0	15.09574468	99.81089894	UBB;RPS27A;UBA52
Respiratory electron transport Homo sapiens R-HSA-611105	Mar-88	0.001389345	0.00255587	0	0	14.91739675	98.14040765	NDUFA13;UQCRB;COX7C
Toll Like Receptor 9 (TLR9) Cascade Homo sapiens R-HSA-168138	Mar-88	0.001389345	0.00255587	0	0	14.91739675	98.14040765	UBB;RPS27A;UBA52
Regulation of TP53 Activity through Phosphorylation Homo sapiens R-HSA-6804756	Mar-89	0.001435293	0.002628002	0	0	14.74319644	96.51465721	UBB;RPS27A;UBA52
Oxidative Stress Induced Senescence Homo sapiens R-HSA-2559580	Mar-91	0.001530034	0.00277541	0	0	14.40667311	93.39076222	UBB;RPS27A;UBA52
PCP/CE pathway Homo sapiens R-HSA-4086400	Mar-91	0.001530034	0.00277541	0	0	14.40667311	93.39076222	UBB;RPS27A;UBA52
MAPK6/MAPK4 signaling Homo sapiens R-HSA-5687128	Mar-92	0.00157884	0.002798853	0	0	14.24408319	91.8895058	UBB;RPS27A;UBA52
MyD88:Mal cascade initiated on plasma membrane Homo sapiens R-HSA-166058	Mar-92	0.00157884	0.002798853	0	0	14.24408319	91.8895058	UBB;RPS27A;UBA52
Toll Like Receptor TLR1:TLR2 Cascade Homo sapiens R-HSA-168179	Mar-92	0.00157884	0.002798853	0	0	14.24408319	91.8895058	UBB;RPS27A;UBA52
Toll Like Receptor TLR6:TLR2 Cascade Homo sapiens R-HSA-168188	Mar-92	0.00157884	0.002798853	0	0	14.24408319	91.8895058	UBB;RPS27A;UBA52
Toll Like Receptor 2 (TLR2) Cascade Homo sapiens R-HSA-181438	Mar-92	0.00157884	0.002798853	0	0	14.24408319	91.8895058	UBB;RPS27A;UBA52
Axon guidance Homo sapiens R-HSA-422475	6/515	0.001721736	0.003038358	0	0	5.208340775	33.14807877	HSPA8;MYL6;UBB;PEBP1;RPS27A;UBA52
TNFR2 non-canonical NF-kB pathway Homo sapiens R-HSA-5668541	Mar-95	0.001731087	0.0030411	0	0	13.77752081	87.61133014	UBB;RPS27A;UBA52
Synthesis of DNA Homo sapiens R-HSA-69239	Mar-97	0.001837513	0.003170929	0	0	13.48302399	84.93418557	UBB;RPS27A;UBA52
MyD88-independent TLR3/TLR4 cascade Homo sapiens R-HSA-166166	Mar-97	0.001837513	0.003170929	0	0	13.48302399	84.93418557	UBB;RPS27A;UBA52
Toll Like Receptor 3 (TLR3) Cascade Homo sapiens R-HSA-168164	Mar-97	0.001837513	0.003170929	0	0	13.48302399	84.93418557	UBB;RPS27A;UBA52
TRIF-mediated TLR3/TLR4 signaling Homo sapiens R-HSA-937061	Mar-97	0.001837513	0.003170929	0	0	13.48302399	84.93418557	UBB;RPS27A;UBA52
Attenuation phase Homo sapiens R-HSA-3371568	Feb-26	0.001915765	0.003291402	0	0	34.59375	216.4751734	HSPA8;UBB
CLEC7A (Dectin-1) signaling Homo sapiens R-HSA-5607764	Mar-99	0.001947943	0.003303033	0	0	13.20079787	82.38593569	UBB;RPS27A;UBA52
Downstream TCR signaling Homo sapiens R-HSA-202424	Mar-99	0.001947943	0.003303033	0	0	13.20079787	82.38593569	UBB;RPS27A;UBA52
Hedgehog 'off' state Homo sapiens R-HSA-5610787	Mar-99	0.001947943	0.003303033	0	0	13.20079787	82.38593569	UBB;RPS27A;UBA52
Stimuli-sensing channels Homo sapiens R-HSA-2672351	3/100	0.002004676	0.003384518	0	0	13.06404913	81.15743655	UBB;RPS27A;UBA52
Cellular responses to stress Homo sapiens R-HSA-2262752	5/367	0.002178862	0.003662741	0	0	6.012277471	36.84896472	HSPA8;UBB;RPS27A;UBA52;SOD1
DNA Replication Homo sapiens R-HSA-69306	3/105	0.002303789	0.003856128	0	0	12.42052566	75.43233672	UBB;RPS27A;UBA52
Nucleotide Excision Repair Homo sapiens R-HSA-5696398	3/108	0.002495841	0.004159736	0	0	12.06382979	72.30009219	UBB;RPS27A;UBA52
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200"	3/109	0.002561993	0.004251819	0	0	11.9494179	71.30181412	NDUFA13;UQCRB;COX7C
FCERI mediated NF-kB activation Homo sapiens R-HSA-2871837	3/111	0.002697535	0.004457791	0	0	11.72695035	69.36980082	UBB;RPS27A;UBA52
HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA) Homo sapiens R-HSA-5693567	3/112	0.002766936	0.004473926	0	0	11.61877806	68.4347727	UBB;RPS27A;UBA52
G1/S Transition Homo sapiens R-HSA-69206	3/112	0.002766936	0.004473926	0	0	11.61877806	68.4347727	UBB;RPS27A;UBA52
Activated TLR4 signalling Homo sapiens R-HSA-166054	3/112	0.002766936	0.004473926	0	0	11.61877806	68.4347727	UBB;RPS27A;UBA52
GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	4/235	0.002801846	0.004473926	0	0	7.422924901	43.62806772	UBB;PEBP1;RPS27A;UBA52
SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	4/235	0.002801846	0.004473926	0	0	7.422924901	43.62806772	UBB;PEBP1;RPS27A;UBA52
SOS-mediated signalling Homo sapiens R-HSA-112412	4/235	0.002801846	0.004473926	0	0	7.422924901	43.62806772	UBB;PEBP1;RPS27A;UBA52
SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	4/235	0.002801846	0.004473926	0	0	7.422924901	43.62806772	UBB;PEBP1;RPS27A;UBA52
RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	4/235	0.002801846	0.004473926	0	0	7.422924901	43.62806772	UBB;PEBP1;RPS27A;UBA52
FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	4/236	0.002844958	0.004473926	0	0	7.390554723	43.32496172	UBB;PEBP1;RPS27A;UBA52
FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	4/236	0.002844958	0.004473926	0	0	7.390554723	43.32496172	UBB;PEBP1;RPS27A;UBA52
FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	4/236	0.002844958	0.004473926	0	0	7.390554723	43.32496172	UBB;PEBP1;RPS27A;UBA52
FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	4/236	0.002844958	0.004473926	0	0	7.390554723	43.32496172	UBB;PEBP1;RPS27A;UBA52
ARMS-mediated activation Homo sapiens R-HSA-170984	4/239	0.002977022	0.004644155	0	0	7.295097132	42.43435183	UBB;PEBP1;RPS27A;UBA52
Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706	4/239	0.002977022	0.004644155	0	0	7.295097132	42.43435183	UBB;PEBP1;RPS27A;UBA52
Frs2-mediated activation Homo sapiens R-HSA-170968	4/240	0.003021962	0.004695479	0	0	7.263817244	42.14357077	UBB;PEBP1;RPS27A;UBA52
MAPK1/MAPK3 signaling Homo sapiens R-HSA-5684996	4/241	0.003067364	0.004747112	0	0	7.232801321	41.85576259	UBB;PEBP1;RPS27A;UBA52
Prolonged ERK activation events Homo sapiens R-HSA-169893	4/242	0.003113232	0.004799053	0	0	7.202046036	41.57088553	UBB;PEBP1;RPS27A;UBA52
Signaling by Leptin Homo sapiens R-HSA-2586552	4/243	0.003159567	0.004851304	0	0	7.171548117	41.28889857	UBB;PEBP1;RPS27A;UBA52
Homology Directed Repair Homo sapiens R-HSA-5693538	3/118	0.003206535	0.004884956	0	0	11.00925069	63.22132915	UBB;RPS27A;UBA52
TCR signaling Homo sapiens R-HSA-202403	3/118	0.003206535	0.004884956	0	0	11.00925069	63.22132915	UBB;RPS27A;UBA52
Interleukin receptor SHC signaling Homo sapiens R-HSA-912526	4/245	0.00325365	0.004935476	0	0	7.111311564	40.73343452	UBB;PEBP1;RPS27A;UBA52
HSF1-dependent transactivation Homo sapiens R-HSA-3371571	Feb-34	0.003265007	0.004935476	0	0	25.93489583	148.4641361	HSPA8;UBB
Signalling to RAS Homo sapiens R-HSA-167044	4/246	0.003301402	0.004971224	0	0	7.081566655	40.459879	UBB;PEBP1;RPS27A;UBA52
VEGFR2 mediated cell proliferation Homo sapiens R-HSA-5218921	4/248	0.00339834	0.00509751	0	0	7.022808268	39.92093012	UBB;PEBP1;RPS27A;UBA52
Signaling by NOTCH Homo sapiens R-HSA-157118	3/122	0.003522095	0.005242813	0	0	10.63704631	60.08547566	UBB;RPS27A;UBA52
Toll Like Receptor 4 (TLR4) Cascade Homo sapiens R-HSA-166016	3/122	0.003522095	0.005242813	0	0	10.63704631	60.08547566	UBB;RPS27A;UBA52
Interleukin-2 signaling Homo sapiens R-HSA-451927	4/252	0.003598013	0.005323863	0	0	6.908134642	38.87465379	UBB;PEBP1;RPS27A;UBA52
C-type lectin receptors (CLRs) Homo sapiens R-HSA-5621481	3/123	0.003603846	0.005323863	0	0	10.54787234	59.33973168	UBB;RPS27A;UBA52
Signalling to ERKs Homo sapiens R-HSA-187687	4/253	0.003649153	0.005370451	0	0	6.880041907	38.61946592	UBB;PEBP1;RPS27A;UBA52
S Phase Homo sapiens R-HSA-69242	3/124	0.003686752	0.005405388	0	0	10.46017232	58.60844538	UBB;RPS27A;UBA52
Late Phase of HIV Life Cycle Homo sapiens R-HSA-162599	3/128	0.004030023	0.00588655	0	0	10.12340426	55.82028181	UBB;RPS27A;UBA52
"Interleukin-3, 5 and GM-CSF signaling Homo sapiens R-HSA-512988"	4/261	0.004076213	0.005931803	0	0	6.66317036	36.66467393	UBB;PEBP1;RPS27A;UBA52
Host Interactions of HIV factors Homo sapiens R-HSA-162909	3/129	0.004118777	0.005971462	0	0	10.04255319	55.15569972	UBB;RPS27A;UBA52
NCAM signaling for neurite out-growth Homo sapiens R-HSA-375165	4/266	0.004359668	0.006297298	0	0	6.534351145	35.51654721	UBB;PEBP1;RPS27A;UBA52
M Phase Homo sapiens R-HSA-68886	4/268	0.004476691	0.00644247	0	0	6.484189723	35.07214697	RPS27;UBB;RPS27A;UBA52
Signaling by Hedgehog Homo sapiens R-HSA-5358351	3/136	0.004773489	0.006819269	0	0	9.510638298	50.83129816	UBB;RPS27A;UBA52
Mitotic G1-G1/S phases Homo sapiens R-HSA-453279	3/136	0.004773489	0.006819269	0	0	9.510638298	50.83129816	UBB;RPS27A;UBA52
Toll-Like Receptors Cascades Homo sapiens R-HSA-168898	3/140	0.005174275	0.007364844	0	0	9.231091784	48.59298475	UBB;RPS27A;UBA52
HIV Life Cycle Homo sapiens R-HSA-162587	3/141	0.005277545	0.007484519	0	0	9.16373728	48.05733405	UBB;RPS27A;UBA52
MAPK family signaling cascades Homo sapiens R-HSA-5683057	4/284	0.005490195	0.007729877	0	0	6.108695652	31.79448726	UBB;PEBP1;RPS27A;UBA52
IRS-mediated signalling Homo sapiens R-HSA-112399	4/284	0.005490195	0.007729877	0	0	6.108695652	31.79448726	UBB;PEBP1;RPS27A;UBA52
Beta-catenin independent WNT signaling Homo sapiens R-HSA-3858494	3/144	0.005594801	0.007848822	0	0	8.967406066	46.5042276	UBB;RPS27A;UBA52
